Rank,Name,GoalsGL,AssistsA,PlayedP,Goals per 90,Mins per GoalMPG,Total Shots,Goal Conversion,Shot Accuracy
1,Lionel Messi,23,8,26,0.94,96,107,21%,67%
2,Luis Suárez,19,2,25,0.87,103,67,28%,52%
3,Karim Benzema,17,6,24,0.72,125,72,24%,58%
4,Gerard Moreno,16,5,23,0.72,125,55,29%,65%
5,Youssef En-Nesyri,15,0,28,0.8,113,50,30%,46%
6,Alexander Isak,12,2,24,0.67,135,45,27%,67%
7,Roger Martí,11,2,24,0.62,146,28,39%,68%
8,Mikel Oyarzabal,10,6,23,0.54,168,39,26%,59%
9,José Luis Morales,10,3,28,0.48,189,37,27%,57%
10,Iago AspasIago ,9,8,24,0.39,233,32,28%,56%
11,Marcos Llorente,9,8,28,0.37,241,28,32%,57%
12,Antoine Griezmann,8,6,26,0.39,229,47,17%,51%
13,Kike,8,2,27,0.32,279,60,13%,42%
14,Rafa Mir,8,1,28,0.36,251,73,11%,42%
15,Sergio Canales,7,6,22,0.35,255,22,32%,50%
16,Carlos Soler,7,5,23,0.32,279,19,37%,68%
17,Joao FélixSequeira,7,4,24,0.46,195,29,24%,52%
18,PortuPortugués Manzanera,7,3,27,0.39,232,18,39%,39%
19,Álvaro Negredo,7,3,25,0.35,254,38,18%,47%
20,Alex Berenguer,7,2,25,0.39,229,27,26%,44%
21,Santi MinaMina Lorenzo,7,1,25,0.36,248,28,25%,54%
22,Joselu,7,1,27,0.28,317,49,14%,47%
23,Borja Iglesias,6,0,19,0.67,134,16,38%,56%
24,Ante Budimir,6,0,20,0.52,174,25,24%,48%
25,Roberto Soldado,6,0,23,0.47,191,16,38%,50%
